Unnamed: 0.1,Unnamed: 0,KEY,ID,Day_GMS,Date_GMS,Day_Type,ID_Trip_Days,Type_Trip_OD,Area_O,Area_D,Code_INSEE_O,Code_INSEE_D,Zone_O,Zone_D,Date_O,Time_O,Date_D,Time_D,Duration,Purpose_O,Purpose_D,Main_Mode,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Weight_Day
114,114,42_0008-mardi-44852-2,42_0008,Tuesday,2022-10-18,Normal,2,Internal,PARIS-14E-ARRONDISSEMENT,PARIS-14E-ARRONDISSEMENT,75114,75114,PARIS,PARIS,2022-10-18,12:34:00,2022-10-18,12:52:00,18.0,HEALTH,LEISURE,WALKING,WALKING,,,,,114.54969889
115,115,42_0008-mardi-44852-3,42_0008,Tuesday,2022-10-18,Normal,3,Internal,PARIS-14E-ARRONDISSEMENT,PARIS-14E-ARRONDISSEMENT,75114,75114,PARIS,PARIS,2022-10-18,12:55:00,2022-10-18,13:28:00,33.0,LEISURE,LEISURE,WALKING,WALKING,,,,,114.54969889
116,116,42_0008-mardi-44852-4,42_0008,Tuesday,2022-10-18,Normal,4,Internal,PARIS-14E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75114,75103,PARIS,PARIS,2022-10-18,13:51:00,2022-10-18,14:37:00,46.0,LEISURE,RETURN_HOME,TRAIN,TRAIN,,,,,114.54969889
117,117,42_0008-mercredi-44853-1,42_0008,Wednesday,2022-10-19,Normal,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-19,10:29:00,2022-10-19,10:35:00,6.0,DEPART_HOME,HEALTH,BIKE,BIKE,,,,,109.3065684
118,118,42_0008-mercredi-44853-2,42_0008,Wednesday,2022-10-19,Normal,2,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-1ER-ARRONDISSEMENT,75103,75101,PARIS,PARIS,2022-10-19,11:22:00,2022-10-19,11:25:00,3.0,HEALTH,PURCHASE,BIKE,BIKE,,,,,109.3065684
119,119,42_0008-mercredi-44853-3,42_0008,Wednesday,2022-10-19,Normal,3,Internal,PARIS-1ER-ARRONDISSEMENT,PARIS-10E-ARRONDISSEMENT,75101,75110,PARIS,PARIS,2022-10-19,11:41:00,2022-10-19,11:51:00,10.0,PURCHASE,PURCHASE,BIKE,BIKE,,,,,109.3065684
120,120,42_0008-mercredi-44853-4,42_0008,Wednesday,2022-10-19,Normal,4,Internal,PARIS-10E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75110,75103,PARIS,PARIS,2022-10-19,12:19:00,2022-10-19,12:39:00,20.0,PURCHASE,PURCHASE,BIKE,BIKE,,,,,109.3065684
121,121,42_0008-mercredi-44853-5,42_0008,Wednesday,2022-10-19,Normal,5,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-19,19:26:00,2022-10-19,19:30:00,4.0,PURCHASE,RETURN_HOME,BIKE,BIKE,,,,,109.3065684
122,122,42_0008-jeudi-44854-1,42_0008,Thursday,2022-10-20,Normal,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-13E-ARRONDISSEMENT,75103,75113,PARIS,PARIS,2022-10-20,10:26:00,2022-10-20,10:53:00,27.0,DEPART_HOME,HEALTH,BIKE,BIKE,,,,,110.92571365
123,123,42_0008-jeudi-44854-2,42_0008,Thursday,2022-10-20,Normal,2,Internal,PARIS-13E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75113,75103,PARIS,PARIS,2022-10-20,12:06:00,2022-10-20,12:35:00,29.0,HEALTH,PURCHASE,BIKE,BIKE,,,,,110.92571365
124,124,42_0008-jeudi-44854-3,42_0008,Thursday,2022-10-20,Normal,3,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-20,17:30:00,2022-10-20,17:52:00,22.0,PURCHASE,RETURN_HOME,BIKE,BIKE,,,,,110.92571365
125,125,42_0008-vendredi-44855-1,42_0008,Friday,2022-10-21,Normal,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-21,10:00:00,2022-10-21,10:05:00,5.0,DEPART_HOME,OTHER,WALKING,WALKING,,,,,111.1308997
126,126,42_0008-vendredi-44855-2,42_0008,Friday,2022-10-21,Normal,2,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-21,10:30:00,2022-10-21,10:35:00,5.0,OTHER,RETURN_HOME,WALKING,WALKING,,,,,111.1308997
127,127,42_0008-samedi-44856-1,42_0008,Saturday,2022-10-22,School holiday,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-9E-ARRONDISSEMENT,75103,75109,PARIS,PARIS,2022-10-22,11:00:00,2022-10-22,11:30:00,30.0,DEPART_HOME,HEALTH,BIKE,BIKE,,,,,152.86798791
128,128,42_0008-samedi-44856-2,42_0008,Saturday,2022-10-22,School holiday,2,Internal,PARIS-9E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75109,75103,PARIS,PARIS,2022-10-22,12:30:00,2022-10-22,13:00:00,30.0,HEALTH,RETURN_HOME,BIKE,BIKE,,,,,152.86798791
129,129,42_0008-dimanche-44857-1,42_0008,Sunday,2022-10-23,School holiday,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-23,16:00:00,2022-10-23,16:05:00,5.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,142.72829632
130,130,42_0008-dimanche-44857-2,42_0008,Sunday,2022-10-23,School holiday,2,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-23,16:30:00,2022-10-23,16:35:00,5.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,142.72829632
159,159,42_0010-lundi-44851-1,42_0010,Monday,2022-10-17,Normal,1,Internal,PARIS-4E-ARRONDISSEMENT,NANTERRE,75104,92050,PARIS,IS,2022-10-17,08:30:00,2022-10-17,09:22:00,52.0,DEPART_HOME,WORK,TRAIN,SUBWAY,TRAIN,BUS,,,536.39261936
160,160,42_0010-lundi-44851-2,42_0010,Monday,2022-10-17,Normal,2,Internal,NANTERRE,PARIS-4E-ARRONDISSEMENT,92050,75104,IS,PARIS,2022-10-17,17:46:00,2022-10-17,18:38:00,52.0,WORK,RETURN_HOME,TRAIN,TRAIN,SUBWAY,,,,536.39261936
161,161,42_0010-mardi-44852-1,42_0010,Tuesday,2022-10-18,Normal,1,Internal,PARIS-4E-ARRONDISSEMENT,PARIS-4E-ARRONDISSEMENT,75104,75104,PARIS,PARIS,2022-10-18,18:46:00,2022-10-18,18:58:00,12.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,538.46068256
162,162,42_0010-mardi-44852-2,42_0010,Tuesday,2022-10-18,Normal,2,Internal,PARIS-4E-ARRONDISSEMENT,PARIS-4E-ARRONDISSEMENT,75104,75104,PARIS,PARIS,2022-10-18,19:30:00,2022-10-18,19:43:00,13.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,538.46068256
163,163,42_0010-mardi-44852-3,42_0010,Tuesday,2022-10-18,Normal,3,Internal,PARIS-4E-ARRONDISSEMENT,PARIS-13E-ARRONDISSEMENT,75104,75113,PARIS,PARIS,2022-10-18,20:07:00,2022-10-18,20:21:00,14.0,DEPART_HOME,OTHER,SUBWAY,SUBWAY,,,,,538.46068256
164,164,42_0010-mardi-44852-4,42_0010,Tuesday,2022-10-18,Normal,4,Internal,PARIS-13E-ARRONDISSEMENT,PARIS-4E-ARRONDISSEMENT,75113,75104,PARIS,PARIS,2022-10-18,23:07:00,2022-10-18,23:21:00,14.0,OTHER,RETURN_HOME,SUBWAY,SUBWAY,,,,,538.46068256
165,165,42_0010-mercredi-44853-1,42_0010,Wednesday,2022-10-19,Normal,1,Internal,PARIS-4E-ARRONDISSEMENT,NANTERRE,75104,92050,PARIS,IS,2022-10-19,08:21:00,2022-10-19,09:24:00,63.0,DEPART_HOME,WORK,TRAIN,SUBWAY,TRAIN,BUS,,,529.51583033
166,166,42_0010-mercredi-44853-2,42_0010,Wednesday,2022-10-19,Normal,2,Internal,NANTERRE,PARIS-4E-ARRONDISSEMENT,92050,75104,IS,PARIS,2022-10-19,17:16:00,2022-10-19,18:33:00,77.0,WORK,RETURN_HOME,TRAIN,TRAIN,SUBWAY,,,,529.51583033
167,167,42_0010-jeudi-44854-1,42_0010,Thursday,2022-10-20,Normal,1,Internal,PARIS-4E-ARRONDISSEMENT,NANTERRE,75104,92050,PARIS,IS,2022-10-20,08:30:00,2022-10-20,09:22:00,52.0,DEPART_HOME,WORK,TRAIN,SUBWAY,TRAIN,,,,532.47520818
168,168,42_0010-jeudi-44854-2,42_0010,Thursday,2022-10-20,Normal,2,Internal,NANTERRE,PARIS-4E-ARRONDISSEMENT,92050,75104,IS,PARIS,2022-10-20,17:46:00,2022-10-20,18:38:00,52.0,WORK,RETURN_HOME,TRAIN,TRAIN,SUBWAY,,,,532.47520818
169,169,42_0010-vendredi-44855-PDT,42_0010,Friday,2022-10-21,Normal,No_Traces,,,,,,,,,,,,,,,,,,,,,0.0
170,170,42_0010-samedi-44856-1,42_0010,Saturday,2022-10-22,School holiday,1,Internal,PARIS-4E-ARRONDISSEMENT,PARIS-4E-ARRONDISSEMENT,75104,75104,PARIS,PARIS,2022-10-22,18:46:00,2022-10-22,18:58:00,12.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,573.12375272
171,171,42_0010-samedi-44856-2,42_0010,Saturday,2022-10-22,School holiday,2,Internal,PARIS-4E-ARRONDISSEMENT,PARIS-4E-ARRONDISSEMENT,75104,75104,PARIS,PARIS,2022-10-22,20:07:00,2022-10-22,20:21:00,14.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,573.12375272
172,172,42_0010-dimanche-44857-PDT,42_0010,Sunday,2022-10-23,School holiday,No_Traces,,,,,,,,,,,,,,,,,,,,,0.0
173,173,42_0011-lundi-44851-1,42_0011,Monday,2022-10-17,Normal,1,Internal,PARIS-5E-ARRONDISSEMENT,PARIS-10E-ARRONDISSEMENT,75105,75110,PARIS,PARIS,2022-10-17,10:32:00,2022-10-17,10:59:00,27.0,DEPART_HOME,HEALTH,TRAIN,TRAIN,SUBWAY,,,,93.330939994
174,174,42_0011-lundi-44851-2,42_0011,Monday,2022-10-17,Normal,2,Internal,PARIS-10E-ARRONDISSEMENT,PARIS-7E-ARRONDISSEMENT,75110,75107,PARIS,PARIS,2022-10-17,11:36:00,2022-10-17,12:09:00,33.0,HEALTH,STUDIES,SUBWAY,SUBWAY,,,,,93.330939994
175,175,42_0011-lundi-44851-3,42_0011,Monday,2022-10-17,Normal,3,Internal,PARIS-7E-ARRONDISSEMENT,PARIS-5E-ARRONDISSEMENT,75107,75105,PARIS,PARIS,2022-10-17,13:38:00,2022-10-17,14:00:00,22.0,STUDIES,RETURN_HOME,BUS,BUS,,,,,93.330939994
176,176,42_0011-mardi-44852-1,42_0011,Tuesday,2022-10-18,Normal,1,Internal,PARIS-5E-ARRONDISSEMENT,PARIS-7E-ARRONDISSEMENT,75105,75107,PARIS,PARIS,2022-10-18,10:04:00,2022-10-18,10:27:00,23.0,DEPART_HOME,STUDIES,WALKING,WALKING,,,,,94.167223995
177,177,42_0011-mardi-44852-2,42_0011,Tuesday,2022-10-18,Normal,2,Internal,PARIS-7E-ARRONDISSEMENT,PARIS-7E-ARRONDISSEMENT,75107,75107,PARIS,PARIS,2022-10-18,12:19:00,2022-10-18,12:24:00,5.0,STUDIES,STUDIES,WALKING,WALKING,,,,,94.167223995
178,178,42_0011-mardi-44852-3,42_0011,Tuesday,2022-10-18,Normal,3,Internal,PARIS-7E-ARRONDISSEMENT,PARIS-7E-ARRONDISSEMENT,75107,75107,PARIS,PARIS,2022-10-18,15:49:00,2022-10-18,15:51:00,2.0,STUDIES,STUDIES,WALKING,WALKING,,,,,94.167223995
179,179,42_0011-mardi-44852-4,42_0011,Tuesday,2022-10-18,Normal,4,Internal,PARIS-7E-ARRONDISSEMENT,PARIS-5E-ARRONDISSEMENT,75107,75105,PARIS,PARIS,2022-10-18,19:00:00,2022-10-18,19:25:00,25.0,STUDIES,RETURN_HOME,WALKING,WALKING,,,,,94.167223995
180,180,42_0011-mercredi-44853-1,42_0011,Wednesday,2022-10-19,Normal,1,Internal,PARIS-5E-ARRONDISSEMENT,PARIS-7E-ARRONDISSEMENT,75105,75107,PARIS,PARIS,2022-10-19,08:14:00,2022-10-19,08:34:00,20.0,DEPART_HOME,STUDIES,BUS,BUS,,,,,90.829906741
181,181,42_0011-mercredi-44853-2,42_0011,Wednesday,2022-10-19,Normal,2,Internal,PARIS-7E-ARRONDISSEMENT,PARIS-7E-ARRONDISSEMENT,75107,75107,PARIS,PARIS,2022-10-19,11:13:00,2022-10-19,11:19:00,6.0,STUDIES,BUSINESS,WALKING,WALKING,,,,,90.829906741
182,182,42_0011-mercredi-44853-3,42_0011,Wednesday,2022-10-19,Normal,3,Internal,PARIS-7E-ARRONDISSEMENT,PARIS-7E-ARRONDISSEMENT,75107,75107,PARIS,PARIS,2022-10-19,11:48:00,2022-10-19,11:54:00,6.0,BUSINESS,STUDIES,WALKING,WALKING,,,,,90.829906741
183,183,42_0011-mercredi-44853-4,42_0011,Wednesday,2022-10-19,Normal,4,Internal,PARIS-7E-ARRONDISSEMENT,PARIS-5E-ARRONDISSEMENT,75107,75105,PARIS,PARIS,2022-10-19,17:00:00,2022-10-19,17:24:00,24.0,STUDIES,RETURN_HOME,BUS,BUS,,,,,90.829906741
184,184,42_0011-jeudi-44854-1,42_0011,Thursday,2022-10-20,Normal,1,Internal,PARIS-5E-ARRONDISSEMENT,PARIS-10E-ARRONDISSEMENT,75105,75110,PARIS,PARIS,2022-10-20,08:30:00,2022-10-20,09:00:00,30.0,DEPART_HOME,HEALTH,TRAIN,TRAIN,SUBWAY,,,,91.85714708
185,185,42_0011-jeudi-44854-2,42_0011,Thursday,2022-10-20,Normal,2,Internal,PARIS-10E-ARRONDISSEMENT,PARIS-10E-ARRONDISSEMENT,75110,75110,PARIS,PARIS,2022-10-20,09:30:00,2022-10-20,09:35:00,5.0,HEALTH,PURCHASE,WALKING,WALKING,,,,,91.85714708
186,186,42_0011-jeudi-44854-3,42_0011,Thursday,2022-10-20,Normal,3,Internal,PARIS-10E-ARRONDISSEMENT,PARIS-5E-ARRONDISSEMENT,75110,75105,PARIS,PARIS,2022-10-20,10:01:00,2022-10-20,10:46:00,45.0,PURCHASE,RETURN_HOME,BUS,BUS,,,,,91.85714708
187,187,42_0011-jeudi-44854-4,42_0011,Thursday,2022-10-20,Normal,4,Internal,PARIS-5E-ARRONDISSEMENT,PARIS-7E-ARRONDISSEMENT,75105,75107,PARIS,PARIS,2022-10-20,12:30:00,2022-10-20,13:00:00,30.0,DEPART_HOME,STUDIES,WALKING,WALKING,,,,,91.85714708
188,188,42_0011-jeudi-44854-5,42_0011,Thursday,2022-10-20,Normal,5,Internal,PARIS-7E-ARRONDISSEMENT,PARIS-5E-ARRONDISSEMENT,75107,75105,PARIS,PARIS,2022-10-20,17:00:00,2022-10-20,17:24:00,24.0,STUDIES,RETURN_HOME,BUS,BUS,,,,,91.85714708
189,189,42_0011-vendredi-44855-PDT,42_0011,Friday,2022-10-21,Normal,No_Traces,,,,,,,,,,,,,,,,,,,,,0.0
190,190,42_0011-samedi-44856-PDT,42_0011,Saturday,2022-10-22,School holiday,No_Traces,,,,,,,,,,,,,,,,,,,,,0.0
191,191,42_0011-dimanche-44857-PDT,42_0011,Sunday,2022-10-23,School holiday,No_Traces,,,,,,,,,,,,,,,,,,,,,0.0
192,192,42_0012-lundi-44851-PDD,42_0012,Monday,2022-10-17,Normal,No_Trip,,,,,,,,,,,,,,,,,,,,,100.90205615
193,193,42_0012-mardi-44852-1,42_0012,Tuesday,2022-10-18,Normal,1,Internal,PARIS-5E-ARRONDISSEMENT,PARIS-5E-ARRONDISSEMENT,75105,75105,PARIS,PARIS,2022-10-18,15:13:00,2022-10-18,15:37:00,24.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,101.8796144
194,194,42_0012-mardi-44852-2,42_0012,Tuesday,2022-10-18,Normal,2,Internal,PARIS-5E-ARRONDISSEMENT,PARIS-5E-ARRONDISSEMENT,75105,75105,PARIS,PARIS,2022-10-18,16:17:00,2022-10-18,16:40:00,23.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,101.8796144
195,195,42_0012-mercredi-44853-1,42_0012,Wednesday,2022-10-19,Normal,1,Internal,PARIS-5E-ARRONDISSEMENT,PARIS-13E-ARRONDISSEMENT,75105,75113,PARIS,PARIS,2022-10-19,10:39:00,2022-10-19,11:00:00,21.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,97.975242014
196,196,42_0012-mercredi-44853-2,42_0012,Wednesday,2022-10-19,Normal,2,Internal,PARIS-13E-ARRONDISSEMENT,PARIS-5E-ARRONDISSEMENT,75113,75105,PARIS,PARIS,2022-10-19,12:00:00,2022-10-19,12:18:00,18.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,97.975242014
